dataset_id,n_trees,max_features,percent_data,time,score
20,9,0.4,0.8,0.49,0.823
20,9,0.4,0.9,0.56,0.817
20,9,0.4,1.0,0.66,0.834
20,11,0.4,0.1,0.1,0.567
20,11,0.4,0.2,0.17,0.691
20,11,0.4,0.3,0.24,0.763
20,11,0.4,0.4,0.31,0.792
20,11,0.4,0.5,0.38,0.802
20,11,0.4,0.6,0.47,0.809
20,11,0.4,0.7,0.52,0.803
20,11,0.4,0.8,0.61,0.837
20,11,0.4,0.9,0.72,0.847
20,11,0.4,1.0,0.78,0.855
20,13,0.4,0.1,0.12,0.553
20,13,0.4,0.2,0.2,0.712
20,13,0.4,0.3,0.28,0.775
20,13,0.4,0.4,0.36,0.798
20,13,0.4,0.5,0.46,0.816
20,13,0.4,0.6,0.53,0.816
20,13,0.4,0.7,0.66,0.848
20,13,0.4,0.8,0.72,0.848
20,13,0.4,0.9,0.8,0.846
20,13,0.4,1.0,0.9,0.856
20,15,0.4,0.1,0.14,0.549
20,15,0.4,0.2,0.23,0.727
20,15,0.4,0.3,0.32,0.786
20,15,0.4,0.4,0.42,0.811
20,15,0.4,0.5,0.54,0.832
20,15,0.4,0.6,0.61,0.822
20,15,0.4,0.7,0.7,0.836
20,15,0.4,0.8,0.83,0.862
20,15,0.4,0.9,0.91,0.849
20,15,0.4,1.0,1.03,0.861
20,1,0.5,0.1,0.02,0.406
20,1,0.5,0.2,0.02,0.495
20,1,0.5,0.3,0.03,0.529
20,1,0.5,0.4,0.04,0.589
20,1,0.5,0.5,0.05,0.601
20,1,0.5,0.6,0.06,0.614
20,1,0.5,0.7,0.07,0.624
20,1,0.5,0.8,0.08,0.635
20,1,0.5,0.9,0.09,0.642
20,1,0.5,1.0,0.1,0.649
20,3,0.5,0.1,0.03,0.444
20,3,0.5,0.2,0.06,0.564
20,3,0.5,0.3,0.09,0.616
20,3,0.5,0.4,0.11,0.658
20,3,0.5,0.5,0.13,0.665
20,3,0.5,0.6,0.16,0.694
20,3,0.5,0.7,0.18,0.675
20,3,0.5,0.8,0.21,0.704
20,3,0.5,0.9,0.23,0.702
20,3,0.5,1.0,0.26,0.721
20,5,0.5,0.1,0.05,0.486
20,5,0.5,0.2,0.09,0.616
20,5,0.5,0.3,0.13,0.697
20,5,0.5,0.4,0.18,0.73
20,5,0.5,0.5,0.21,0.728
20,5,0.5,0.6,0.26,0.75
20,5,0.5,0.7,0.31,0.774
20,5,0.5,0.8,0.34,0.782
20,5,0.5,0.9,0.37,0.78
20,5,0.5,1.0,0.42,0.801
20,7,0.5,0.1,0.08,0.511
20,7,0.5,0.2,0.13,0.677
20,7,0.5,0.3,0.19,0.715
20,7,0.5,0.4,0.24,0.766
20,7,0.5,0.5,0.3,0.762
20,7,0.5,0.6,0.35,0.778
20,7,0.5,0.7,0.41,0.785
20,7,0.5,0.8,0.47,0.787
20,7,0.5,0.9,0.55,0.806
20,7,0.5,1.0,0.58,0.822
20,9,0.5,0.1,0.09,0.53
20,9,0.5,0.2,0.16,0.675
20,9,0.5,0.3,0.23,0.747
20,9,0.5,0.4,0.31,0.792
20,9,0.5,0.5,0.38,0.789
20,9,0.5,0.6,0.44,0.792
20,9,0.5,0.7,0.52,0.814
20,9,0.5,0.8,0.59,0.809
20,9,0.5,0.9,0.67,0.827
20,9,0.5,1.0,0.74,0.837
20,11,0.5,0.1,0.11,0.56
20,11,0.5,0.2,0.19,0.694
20,11,0.5,0.3,0.3,0.773
20,11,0.5,0.4,0.37,0.786
20,11,0.5,0.5,0.45,0.794
20,11,0.5,0.6,0.55,0.8
20,11,0.5,0.7,0.63,0.824
20,11,0.5,0.8,0.74,0.831
20,11,0.5,0.9,0.82,0.819
20,11,0.5,1.0,0.92,0.838
20,13,0.5,0.1,0.13,0.552
20,13,0.5,0.2,0.23,0.697
20,13,0.5,0.3,0.33,0.789
20,13,0.5,0.4,0.43,0.788
20,13,0.5,0.5,0.55,0.818
20,13,0.5,0.6,0.63,0.811
20,13,0.5,0.7,0.76,0.818
20,13,0.5,0.8,0.85,0.841
20,13,0.5,0.9,0.95,0.838
20,13,0.5,1.0,1.07,0.856
20,15,0.5,0.1,0.15,0.563
20,15,0.5,0.2,0.28,0.719
20,15,0.5,0.3,0.38,0.781
20,15,0.5,0.4,0.5,0.813
20,15,0.5,0.5,0.63,0.813
20,15,0.5,0.6,0.74,0.827
20,15,0.5,0.7,0.85,0.842
20,15,0.5,0.8,0.98,0.855
20,15,0.5,0.9,1.11,0.843
20,15,0.5,1.0,1.24,0.859
